,count,mean,std,min,25%,50%,75%,max
marital_status,4424.00,1.18,0.61,1.00,1.00,1.00,1.00,6.00
app_mode,4424.00,18.67,17.48,1.00,1.00,17.00,39.00,57.00
app_order,4424.00,1.73,1.31,0.00,1.00,1.00,2.00,9.00
course,4424.00,8856.64,2063.57,33.00,9085.00,9238.00,9556.00,9991.00
attendance_type,4424.00,0.89,0.31,0.00,1.00,1.00,1.00,1.00
prev_qualification,4424.00,4.58,10.22,1.00,1.00,1.00,1.00,43.00
prev_qual_grade,4424.00,132.61,13.19,95.00,125.00,133.10,140.00,190.00
nationality,4424.00,1.87,6.91,1.00,1.00,1.00,1.00,109.00
mother_qual,4424.00,19.56,15.60,1.00,2.00,19.00,37.00,44.00
father_qual,4424.00,22.28,15.34,1.00,3.00,19.00,37.00,44.00
mother_occupation,4424.00,10.96,26.42,0.00,4.00,5.00,9.00,194.00
father_occupation,4424.00,11.03,25.26,0.00,4.00,7.00,9.00,195.00
admission_grade,4424.00,126.98,14.48,95.00,117.90,126.10,134.80,190.00
is_displaced,4424.00,0.55,0.50,0.00,0.00,1.00,1.00,1.00
has_special_needs,4424.00,0.01,0.11,0.00,0.00,0.00,0.00,1.00
is_debtor,4424.00,0.11,0.32,0.00,0.00,0.00,0.00,1.00
fees_up_to_date,4424.00,0.88,0.32,0.00,1.00,1.00,1.00,1.00
gender,4424.00,0.35,0.48,0.00,0.00,0.00,1.00,1.00
has_scholarship,4424.00,0.25,0.43,0.00,0.00,0.00,0.00,1.00
age_at_enrollment,4424.00,23.27,7.59,17.00,19.00,20.00,25.00,70.00
is_international,4424.00,0.02,0.16,0.00,0.00,0.00,0.00,1.00
sem1_credits,4424.00,0.71,2.36,0.00,0.00,0.00,0.00,20.00
sem1_enrolled,4424.00,6.27,2.48,0.00,5.00,6.00,7.00,26.00
sem1_evaluations,4424.00,8.30,4.18,0.00,6.00,8.00,10.00,45.00
sem1_approved,4424.00,4.71,3.09,0.00,3.00,5.00,6.00,26.00
sem1_grade,4424.00,10.64,4.84,0.00,11.00,12.29,13.40,18.88
sem1_without_evals,4424.00,0.14,0.69,0.00,0.00,0.00,0.00,12.00
sem2_credits,4424.00,0.54,1.92,0.00,0.00,0.00,0.00,19.00
sem2_enrolled,4424.00,6.23,2.20,0.00,5.00,6.00,7.00,23.00
sem2_evaluations,4424.00,8.06,3.95,0.00,6.00,8.00,10.00,33.00
sem2_approved,4424.00,4.44,3.01,0.00,2.00,5.00,6.00,20.00
sem2_grade,4424.00,10.23,5.21,0.00,10.75,12.20,13.33,18.57
sem2_without_evals,4424.00,0.15,0.75,0.00,0.00,0.00,0.00,12.00
unemployment_rate,4424.00,11.57,2.66,7.60,9.40,11.10,13.90,16.20
inflation_rate,4424.00,1.23,1.38,-0.80,0.30,1.40,2.60,3.70
gdp,4424.00,0.00,2.27,-4.06,-1.70,0.32,1.79,3.51
